id,title,titre,department,ministere,downloads_telechargements,month_mois,year_annee
791de1ec-7fc8-48f1-a4e4-8bbaebc67080,"Single Window Initiative, Integrated Import Declaration (IID) - Regulated Commodities - Data Element Matching Criteria Table","Initiative du guichet unique, Déclaration intégrée des importations (DII) - Marchandises réglementées — tables de critères de correspondance des éléments de données",Canada Border Services Agency,Agence des services frontaliers du Canada,797,4,2025
06d31e10-a2a8-4d53-9ff3-567714a0a9f3,Canadian Charter of Rights and Freedoms in various languages,Charte canadienne des droits et libertés en différentes langues,Canadian Heritage,Patrimoine canadien,305,4,2025
ac988c2a-ce33-4e8e-bf64-2c052c50892f,Radionuclide Information Booklet,Livret d'information sur les radionucléides,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,185,4,2025
e23241b9-36fa-4b02-968c-af7fed60ec03,"GC HR and Pay - Program Management Committee, 2024","RH et paye du GC – Comité de gestion du programme, 2024",Public Services and Procurement Canada,Services publics et Approvisionnement Canada,105,4,2025
67c81048-e230-47f2-ad9a-38bc68f3b51e,GC HR and Pay - Data Standards,RH et paye du GC - Normes de données,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,91,4,2025
0968ddc5-710e-4388-b379-184764df6f4c,Darlington New Nuclear Project - Information and Reports,Projet de nouvelle centrale nucléaire de Darlington -  Informations et rapports,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,82,4,2025
240f1dbc-a3b5-46b1-9b5f-d0d3cbec9378,Algorithmic Impact Assessment – Integrity trends analysis tool,Évaluation d'incidence algorithmique -  Outil d’analyse des tendances en matière d’intégrité,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",71,4,2025
20e546a9-f626-4e14-bdac-56f6803daf5b,GC HR and Pay - Unified Actions for Pay,RH et paye du GC – Actions unifiées pour la paye,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,59,4,2025
60236652-5aa7-4452-b2e1-7f96197e927a,Policies - Temporary Foreign Worker Program,Politiques - Programme des travailleurs étrangers temporaires,Employment and Social Development Canada,Emploi et Développement social Canada,55,4,2025
5abd4282-d5b0-4ac5-ac78-7210a61befdf,Canadian Charter of Rights and Freedoms in Indigenous languages,Charte canadienne des droits et libertés en langues autochtones,Canadian Heritage,Patrimoine canadien,53,4,2025
